Player,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds
Tyrod Taylor\TaylTy00,1,0,1,3,2011,2020,41,71,47,855,1392,9770,54,84,20,144,775
Mike Livingston\LiviMi00,1,0,1,5,1968,1979,43,91,75,912,1751,11295,56,93,83,152,1392
Tony Banks\BankTo00,1,0,0,5,1996,2005,42,96,78,1278,2356,15315,77,85,73,227,1432
Don Majkowski\MajkDo00,0,0,1,4,1987,1996,39,90,57,1056,1905,12700,66,79,67,180,1058
Erik Kramer\KramEr00,0,0,0,3,1987,1999,41,83,67,1317,2299,15337,92,85,79,122,788
Kyle Orton\OrtoKy00,0,0,0,5,2005,2014,41,87,82,1613,2712,18037,101,87,69,165,1016
Bob Berry\BerrBo00,0,0,1,4,1965,1975,38,78,52,661,1173,9197,64,88,64,131,927
Bubby Brister\BrisBu00,2,0,0,4,1986,2000,41,99,75,1207,2212,14445,81,90,78,193,1625
Mike Phipps\PhipMi00,0,0,0,5,1970,1981,40,119,71,886,1799,10506,55,80,108,172,1514
Josh McCown\McCoJo01,0,0,0,5,2002,2019,40,102,76,1584,2633,17731,98,80,82,235,1563
James Harris\HarrJa01,0,0,1,4,1969,1979,38,83,41,607,1149,8136,45,80,59,101,874
Robert Griffin III\GrifRo01,0,0,1,3,2012,2020,36,55,41,792,1256,9238,43,88,29,128,875
Vince Young\YounVi00,0,0,2,4,2006,2011,33,60,50,755,1304,8964,46,73,51,83,449
Jay Fiedler\FiedJa00,0,0,0,4,1995,2005,39,76,60,1008,1717,11844,69,74,66,114,734
Josh Freeman\FreeJo00,0,0,0,4,2009,2015,38,62,61,1179,2048,13873,81,95,68,112,690
Tony Eason\EasoTo00,0,0,0,3,1983,1990,36,90,51,911,1564,11142,61,90,51,177,1350
Eric Hipple\HippEr00,0,0,0,4,1980,1989,38,102,57,830,1546,10711,55,94,70,160,1188
Tom Tupa\TupaTo20,1,1,1,1,1988,2004,29,220,13,259,504,3430,12,77,25,47,372
Bobby Douglass\DougBo00,0,0,0,4,1969,1978,37,91,53,507,1178,6493,36,85,64,180,1335
David Woodley\WoodDa00,0,0,0,3,1980,1985,34,58,53,687,1300,8558,48,80,63,84,631
Pat Haden\HadePa00,0,0,1,4,1976,1981,33,65,55,731,1363,9296,52,68,60,115,888
Steve Bono\BonoSt00,1,0,1,2,1985,1999,32,88,42,934,1701,10439,62,78,42,76,565
Marc Wilson\WilsMa00,2,0,0,5,1980,1990,35,126,60,1085,2081,14391,86,92,102,210,1510
Mark Sanchez\SancMa00,0,0,0,4,2009,2018,34,79,73,1314,2320,15357,86,74,89,168,1090
Vince Ferragamo\FerrVi00,0,0,0,4,1977,1986,32,75,53,902,1615,11336,76,85,91,94,770
Case Keenum\KeenCa00,0,0,0,4,2012,2020,34,68,62,1309,2101,14414,75,69,47,120,900
Charlie Batch\BatcCh00,1,0,0,4,1998,2012,33,81,55,908,1604,11085,61,98,52,161,890
Byron Leftwich\LeftBy00,1,0,0,3,2003,2012,33,60,50,930,1605,10532,58,84,42,92,452
